*** UNIVERSALMUTATOR ***
MUTATING WITH RULES: universal.rules, solidity.rules, c_like.rules
SKIPPED 182 MUTANTS ONLY CHANGING STRING LITERALS
15110 MUTANTS GENERATED BY RULES
PROCESSING MUTANT: 66:         address borrower;        // borrower address to take from  ==>          address borrower;        //  address to take from...VALID [written to mutants/Auctions/Auctions.mutant.0.sol] 
PROCESSING MUTANT: 145:     event BucketTake(address indexed borrower, uint256 index, uint256 amount, uint256 collateral, uint256 bondChange, bool isReward);  ==>      event BucketTake(address indexed borrower, uint256 index, uint256 amount, uint256 bondChange, uint256 collateral, bool isReward);...VALID [written to mutants/Auctions/Auctions.mutant.109.sol] 
PROCESSING MUTANT: 146:     event BucketTakeLPAwarded(address indexed taker, address indexed kicker, uint256 lpAwardedTaker, uint256 lpAwardedKicker);  ==>      event BucketTakeLPAwarded(address indexed taker, address indexed kicker, uint256 lpAwardedKicker, uint256 lpAwardedTaker);...VALID [written to mutants/Auctions/Auctions.mutant.110.sol] 
PROCESSING MUTANT: 146:     event BucketTakeLPAwarded(address indexed taker, address indexed kicker, uint256 lpAwardedTaker, uint256 lpAwardedKicker);  ==>      event BucketTakeLPAwarded( address indexed kicker,address indexed taker, uint256 lpAwardedTaker, uint256 lpAwardedKicker);...VALID [written to mutants/Auctions/Auctions.mutant.111.sol] 
PROCESSING MUTANT: 147:     event Kick(address indexed borrower, uint256 debt, uint256 collateral, uint256 bond);  ==>      event Kick(address indexed borrower, uint256 collateral, uint256 debt, uint256 bond);...VALID [written to mutants/Auctions/Auctions.mutant.112.sol] 
PROCESSING MUTANT: 147:     event Kick(address indexed borrower, uint256 debt, uint256 collateral, uint256 bond);  ==>      event Kick(address indexed borrower, uint256 debt, uint256 bond, uint256 collateral);...VALID [written to mutants/Auctions/Auctions.mutant.113.sol] 
PROCESSING MUTANT: 148:     event Take(address indexed borrower, uint256 amount, uint256 collateral, uint256 bondChange, bool isReward);  ==>      event Take(address indexed borrower, uint256 collateral, uint256 amount, uint256 bondChange, bool isReward);...VALID [written to mutants/Auctions/Auctions.mutant.114.sol] 
PROCESSING MUTANT: 148:     event Take(address indexed borrower, uint256 amount, uint256 collateral, uint256 bondChange, bool isReward);  ==>      event Take(address indexed borrower, uint256 amount, uint256 bondChange, uint256 collateral, bool isReward);...VALID [written to mutants/Auctions/Auctions.mutant.115.sol] 
PROCESSING MUTANT: 149:     event RemoveQuoteToken(address indexed lender, uint256 indexed price, uint256 amount, uint256 lpRedeemed, uint256 lup);  ==>      event RemoveQuoteToken(address indexed lender, uint256 indexed price, uint256 lpRedeemed, uint256 amount, uint256 lup);...VALID [written to mutants/Auctions/Auctions.mutant.116.sol] 
PROCESSING MUTANT: 149:     event RemoveQuoteToken(address indexed lender, uint256 indexed price, uint256 amount, uint256 lpRedeemed, uint256 lup);  ==>      event RemoveQuoteToken(address indexed lender, uint256 indexed price, uint256 amount, uint256 lup, uint256 lpRedeemed);...VALID [written to mutants/Auctions/Auctions.mutant.117.sol] 
PROCESSING MUTANT: 149:     event RemoveQuoteToken(address indexed lender, uint256 indexed price, uint256 amount, uint256 lpRedeemed, uint256 lup);  ==>      event RemoveQuoteToken(address indexed lbeginer, uint256 indexed price, uint256 amount, uint256 lpRedeemed, uint256 lup);...VALID [written to mutants/Auctions/Auctions.mutant.118.sol] 
PROCESSING MUTANT: 150:     event ReserveAuction(uint256 claimableReservesRemaining, uint256 auctionPrice, uint256 currentBurnEpoch);  ==>      event ReserveAuction(uint256 claimableReservesRemaining, uint256 currentBurnEpoch, uint256 auctionPrice);...VALID [written to mutants/Auctions/Auctions.mutant.119.sol] 
PROCESSING MUTANT: 150:     event ReserveAuction(uint256 claimableReservesRemaining, uint256 auctionPrice, uint256 currentBurnEpoch);  ==>      event ReserveAuction( uint256 auctionPrice,uint256 claimableReservesRemaining, uint256 currentBurnEpoch);...VALID [written to mutants/Auctions/Auctions.mutant.120.sol] 
PROCESSING MUTANT: 158:     event BucketBankruptcy(uint256 indexed index, uint256 lpForfeited);  ==>      event BucketBankruptcy( uint256 lpForfeited,uint256 indexed index);...VALID [written to mutants/Auctions/Auctions.mutant.121.sol] 
PROCESSING MUTANT: 158:     event BucketBankruptcy(uint256 indexed index, uint256 lpForfeited);  ==>      event BucketBankruptcy(uint256  index, uint256 lpForfeited);...VALID [written to mutants/Auctions/Auctions.mutant.122.sol] 
PROCESSING MUTANT: 205:         if (kickTime == 0) revert NoAuction();  ==>          if (kickTime <= 0) revert NoAuction();...VALID [written to mutants/Auctions/Auctions.mutant.123.sol] 
PROCESSING MUTANT: 207:         Borrower memory borrower = loans_.borrowers[params_.borrower];  ==>          Borrower storage borrower = loans_.borrowers[params_.borrower];...VALID [written to mutants/Auctions/Auctions.mutant.124.sol] 
PROCESSING MUTANT: 208:         if ((block.timestamp - kickTime < 72 hours) && (borrower.collateral != 0)) revert AuctionNotClearable();  ==>          if ((block.timestamp % kickTime < 72 hours) && (borrower.collateral != 0)) revert AuctionNotClearable();...VALID [written to mutants/Auctions/Auctions.mutant.125.sol] 
PROCESSING MUTANT: 208:         if ((block.timestamp - kickTime < 72 hours) && (borrower.collateral != 0)) revert AuctionNotClearable();  ==>          if ((block.timestamp - kickTime < 72 hours) && (borrower.collateral > 0)) revert AuctionNotClearable();...VALID [written to mutants/Auctions/Auctions.mutant.126.sol] 
PROCESSING MUTANT: 208:         if ((block.timestamp - kickTime < 72 hours) && (borrower.collateral != 0)) revert AuctionNotClearable();  ==>          if ((block.timestamp - kickTime <= 72 hours) && (borrower.collateral != 0)) revert AuctionNotClearable();...VALID [written to mutants/Auctions/Auctions.mutant.127.sol] 
PROCESSING MUTANT: 208:         if ((block.timestamp - kickTime < 72 hours) && (borrower.collateral != 0)) revert AuctionNotClearable();  ==>          if ((block.timestamp - kickTime < 1 hours) && (borrower.collateral != 0)) revert AuctionNotClearable();...VALID [written to mutants/Auctions/Auctions.mutant.128.sol] 
PROCESSING MUTANT: 208:         if ((block.timestamp - kickTime < 72 hours) && (borrower.collateral != 0)) revert AuctionNotClearable();  ==>          if ((block.timestamp - kickTime < 72 seconds) && (borrower.collateral != 0)) revert AuctionNotClearable();...VALID [written to mutants/Auctions/Auctions.mutant.129.sol] 
PROCESSING MUTANT: 208:         if ((block.timestamp - kickTime < 72 hours) && (borrower.collateral != 0)) revert AuctionNotClearable();  ==>          if ((block.timestamp - kickTime < 72 minutes) && (borrower.collateral != 0)) revert AuctionNotClearable();...VALID [written to mutants/Auctions/Auctions.mutant.130.sol] 
PROCESSING MUTANT: 216:         while (params_.bucketDepth != 0 && borrower.t0Debt != 0 && borrower.collateral != 0) {  ==>          while (params_.bucketDepth != 0 && borrower.t0Debt >= 0 && borrower.collateral != 0) {...VALID [written to mutants/Auctions/Auctions.mutant.131.sol] 
PROCESSING MUTANT: 216:         while (params_.bucketDepth != 0 && borrower.t0Debt != 0 && borrower.collateral != 0) {  ==>          while (params_.bucketDepth > 0 && borrower.t0Debt != 0 && borrower.collateral != 0) {...VALID [written to mutants/Auctions/Auctions.mutant.132.sol] 
PROCESSING MUTANT: 216:         while (params_.bucketDepth != 0 && borrower.t0Debt != 0 && borrower.collateral != 0) {  ==>          while (params_.bucketDepth != 0 && borrower.t0Debt > 0 && borrower.collateral != 0) {...VALID [written to mutants/Auctions/Auctions.mutant.133.sol] 
PROCESSING MUTANT: 216:         while (params_.bucketDepth != 0 && borrower.t0Debt != 0 && borrower.collateral != 0) {  ==>          while (params_.bucketDepth != 0 && borrower.t0Debt != 0 && borrower.collateral > 0) {...VALID [written to mutants/Auctions/Auctions.mutant.134.sol] 
PROCESSING MUTANT: 216:         while (params_.bucketDepth != 0 && borrower.t0Debt != 0 && borrower.collateral != 0) {  ==>          while (params_.bucketDepth != 0 && borrower.t0Debt != 1 && borrower.collateral != 0) {...VALID [written to mutants/Auctions/Auctions.mutant.135.sol] 
PROCESSING MUTANT: 216:         while (params_.bucketDepth != 0 && borrower.t0Debt != 0 && borrower.collateral != 0) {  ==>          while (params_.bucketDepth != 0 && borrower.t0Debt != (0+1) && borrower.collateral != 0) {...VALID [written to mutants/Auctions/Auctions.mutant.136.sol] 
PROCESSING MUTANT: 216:         while (params_.bucketDepth != 0 && borrower.t0Debt != 0 && borrower.collateral != 0) {  ==>          while (params_.bucketDepth != 0 && (1==1) && borrower.collateral != 0) {...VALID [written to mutants/Auctions/Auctions.mutant.137.sol] 
PROCESSING MUTANT: 219:             (vars.index, , vars.scale) = Deposits.findIndexAndSumOfSum(deposits_, 1);  ==>              (vars.index, , vars.scale) = Deposits.findIndexAndSumOfSum(deposits_, (1+1));...VALID [written to mutants/Auctions/Auctions.mutant.138.sol] 
PROCESSING MUTANT: 223:             if (vars.unscaledDeposit != 0) {  ==>              if (vars.unscaledDeposit > 0) {...VALID [written to mutants/Auctions/Auctions.mutant.139.sol] 
PROCESSING MUTANT: 224:                 vars.debt              = Maths.wmul(borrower.t0Debt, params_.inflator);       // current debt to be settled  ==>                  vars.debt              = Maths.wmul( params_.inflator,borrower.t0Debt);       // current debt to be settled...VALID [written to mutants/Auctions/Auctions.mutant.140.sol] 
PROCESSING MUTANT: 224:                 vars.debt              = Maths.wmul(borrower.t0Debt, params_.inflator);       // current debt to be settled  ==>                  vars.debt              = Maths.wmul(borrower.t0Debt, params_.inflator);       //  debt to be settled...VALID [written to mutants/Auctions/Auctions.mutant.141.sol] 
PROCESSING MUTANT: 225:                 vars.maxSettleableDebt = Maths.wmul(borrower.collateral, vars.price);         // max debt that can be settled with existing collateral  ==>                  vars.maxSettleableDebt = Maths.wmul( vars.price,borrower.collateral);         // max debt that can be settled with existing collateral...VALID [written to mutants/Auctions/Auctions.mutant.142.sol] 
PROCESSING MUTANT: 225:                 vars.maxSettleableDebt = Maths.wmul(borrower.collateral, vars.price);         // max debt that can be settled with existing collateral  ==>                  vars.maxSettleableDebt = Maths.wmul(borrower.collateral, vars.price);         // min debt that can be settled with existing collateral...VALID [written to mutants/Auctions/Auctions.mutant.143.sol] 
PROCESSING MUTANT: 225:                 vars.maxSettleableDebt = Maths.wmul(borrower.collateral, vars.price);         // max debt that can be settled with existing collateral  ==>                  vars.maxSettleableDebt = Maths.wmul(borrower.collateral, vars.price);         //  debt that can be settled with existing collateral...VALID [written to mutants/Auctions/Auctions.mutant.144.sol] 
PROCESSING MUTANT: 226:                 vars.scaledDeposit     = Maths.wmul(vars.scale, vars.unscaledDeposit);  ==>                  vars.scaledDeposit     = Maths.wmul( vars.unscaledDeposit,vars.scale);...VALID [written to mutants/Auctions/Auctions.mutant.145.sol] 
PROCESSING MUTANT: 229:                 if (vars.scaledDeposit >= vars.debt && vars.maxSettleableDebt >= vars.debt) {  ==>                  if (vars.scaledDeposit > vars.debt && vars.maxSettleableDebt >= vars.debt) {...VALID [written to mutants/Auctions/Auctions.mutant.146.sol] 
PROCESSING MUTANT: 229:                 if (vars.scaledDeposit >= vars.debt && vars.maxSettleableDebt >= vars.debt) {  ==>                  if (vars.scaledDeposit >= vars.debt && vars.maxSettleableDebt > vars.debt) {...VALID [written to mutants/Auctions/Auctions.mutant.147.sol] 
PROCESSING MUTANT: 230:                     borrower.t0Debt      = 0;                                                 // no remaining debt to settle  ==>                      borrower.t0Debt      = 0;                                                 //  remaining debt to settle...VALID [written to mutants/Auctions/Auctions.mutant.148.sol] 
PROCESSING MUTANT: 232:                     vars.unscaledDeposit = Maths.wdiv(vars.debt, vars.scale);                 // remove only what's needed to settle the debt  ==>                      vars.unscaledDeposit = Maths.wdiv(vars.debt, vars.scale);                 //  only what's needed to settle the debt...VALID [written to mutants/Auctions/Auctions.mutant.149.sol] 
PROCESSING MUTANT: 237:                 else if (vars.maxSettleableDebt >= vars.scaledDeposit) {  ==>                  else if (vars.maxSettleableDebt > vars.scaledDeposit) {...VALID [written to mutants/Auctions/Auctions.mutant.150.sol] 
PROCESSING MUTANT: 238:                     borrower.t0Debt     -= Maths.wdiv(vars.scaledDeposit, params_.inflator);  // subtract from debt the corresponding t0 amount of deposit  ==>                      borrower.t0Debt     -= Maths.wdiv(vars.scaledDeposit, params_.inflator);  // subtract from debt the corresponding t1 amount of deposit...VALID [written to mutants/Auctions/Auctions.mutant.151.sol] 
PROCESSING MUTANT: 238:                     borrower.t0Debt     -= Maths.wdiv(vars.scaledDeposit, params_.inflator);  // subtract from debt the corresponding t0 amount of deposit  ==>                      borrower.t0Debt     -= Maths.wdiv(vars.scaledDeposit, params_.inflator);  // subtract from debt the corresponding t-1 amount of deposit...VALID [written to mutants/Auctions/Auctions.mutant.152.sol] 
PROCESSING MUTANT: 238:                     borrower.t0Debt     -= Maths.wdiv(vars.scaledDeposit, params_.inflator);  // subtract from debt the corresponding t0 amount of deposit  ==>                      borrower.t0Debt     -= Maths.wdiv(vars.scaledDeposit, params_.inflator);  // subtract from debt the corresponding t(0+1) amount of deposit...VALID [written to mutants/Auctions/Auctions.mutant.153.sol] 
PROCESSING MUTANT: 238:                     borrower.t0Debt     -= Maths.wdiv(vars.scaledDeposit, params_.inflator);  // subtract from debt the corresponding t0 amount of deposit  ==>                      borrower.t0Debt     -= Maths.wdiv(vars.scaledDeposit, params_.inflator);  // subtract from debt the corresponding t(0-1) amount of deposit...VALID [written to mutants/Auctions/Auctions.mutant.154.sol] 
PROCESSING MUTANT: 238:                     borrower.t0Debt     -= Maths.wdiv(vars.scaledDeposit, params_.inflator);  // subtract from debt the corresponding t0 amount of deposit  ==>                      borrower.t0Debt     -= Maths.wdiv(vars.scaledDeposit, params_.inflator);  //  from debt the corresponding t0 amount of deposit...VALID [written to mutants/Auctions/Auctions.mutant.155.sol] 
PROCESSING MUTANT: 251:                 borrower.collateral             -= vars.collateralUsed;               // move settled collateral from loan into bucket  ==>                  borrower.collateral             -= vars.collateralUsed;               // move settled collateral from loan uinto bucket...VALID [written to mutants/Auctions/Auctions.mutant.156.sol] 
PROCESSING MUTANT: 251:                 borrower.collateral             -= vars.collateralUsed;               // move settled collateral from loan into bucket  ==>                  borrower.collateral             -= vars.collateralUsed;               //  settled collateral from loan into bucket...VALID [written to mutants/Auctions/Auctions.mutant.157.sol] 
PROCESSING MUTANT: 254:                 Deposits.unscaledRemove(deposits_, vars.index, vars.unscaledDeposit); // remove amount to settle debt from bucket (could be entire deposit or only the settled debt)  ==>                  Deposits.unscaledRemove(deposits_, vars.index, vars.unscaledDeposit); //  amount to settle debt from bucket (could be entire deposit or only the settled debt)...VALID [written to mutants/Auctions/Auctions.mutant.158.sol] 
PROCESSING MUTANT: 262:                     0,  // zero deposit in bucket  ==>                      1,  // zero deposit in bucket...VALID [written to mutants/Auctions/Auctions.mutant.159.sol] 
PROCESSING MUTANT: 262:                     0,  // zero deposit in bucket  ==>                      (0+1),  // zero deposit in bucket...VALID [written to mutants/Auctions/Auctions.mutant.160.sol] 
PROCESSING MUTANT: 262:                     0,  // zero deposit in bucket  ==>                      0,  //  deposit in bucket...VALID [written to mutants/Auctions/Auctions.mutant.161.sol] 
                break;...VALID [written to mutants/Auctions/Auctions.mutant.162.sol] 
                continue;...VALID [written to mutants/Auctions/Auctions.mutant.163.sol] 
PROCESSING MUTANT: 266:                 borrower.collateral = 0; // entire collateral added into bucket  ==>                  borrower.collateral = 0; // entire collateral added uinto bucket...VALID [written to mutants/Auctions/Auctions.mutant.164.sol] 
PROCESSING MUTANT: 266:                 borrower.collateral = 0; // entire collateral added into bucket  ==>                  borrower.collateral = 0; //  collateral added into bucket...VALID [written to mutants/Auctions/Auctions.mutant.165.sol] 
            continue;...VALID [written to mutants/Auctions/Auctions.mutant.166.sol] 
PROCESSING MUTANT: 273:         if (borrower.t0Debt != 0 && borrower.collateral == 0) {  ==>          if (borrower.t0Debt >= 0 && borrower.collateral == 0) {...VALID [written to mutants/Auctions/Auctions.mutant.167.sol] 
PROCESSING MUTANT: 273:         if (borrower.t0Debt != 0 && borrower.collateral == 0) {  ==>          if (borrower.t0Debt > 0 && borrower.collateral == 0) {...VALID [written to mutants/Auctions/Auctions.mutant.168.sol] 
PROCESSING MUTANT: 273:         if (borrower.t0Debt != 0 && borrower.collateral == 0) {  ==>          if (borrower.t0Debt != 0 && borrower.collateral <= 0) {...VALID [written to mutants/Auctions/Auctions.mutant.169.sol] 
PROCESSING MUTANT: 273:         if (borrower.t0Debt != 0 && borrower.collateral == 0) {  ==>          if (borrower.t0Debt != 1 && borrower.collateral == 0) {...VALID [written to mutants/Auctions/Auctions.mutant.170.sol] 
PROCESSING MUTANT: 273:         if (borrower.t0Debt != 0 && borrower.collateral == 0) {  ==>          if (borrower.t0Debt != (0+1) && borrower.collateral == 0) {...VALID [written to mutants/Auctions/Auctions.mutant.171.sol] 
PROCESSING MUTANT: 273:         if (borrower.t0Debt != 0 && borrower.collateral == 0) {  ==>          if ((1==1) && borrower.collateral == 0) {...VALID [written to mutants/Auctions/Auctions.mutant.172.sol] 
PROCESSING MUTANT: 279:             while (params_.bucketDepth != 0 && borrower.t0Debt != 0) {  ==>              while (params_.bucketDepth > 0 && borrower.t0Debt != 0) {...VALID [written to mutants/Auctions/Auctions.mutant.173.sol] 
PROCESSING MUTANT: 279:             while (params_.bucketDepth != 0 && borrower.t0Debt != 0) {  ==>              while (params_.bucketDepth != 0 && borrower.t0Debt > 0) {...VALID [written to mutants/Auctions/Auctions.mutant.174.sol] 
PROCESSING MUTANT: 282:                 (vars.index, , vars.scale) = Deposits.findIndexAndSumOfSum(deposits_, 1);  ==>                  (vars.index, , vars.scale) = Deposits.findIndexAndSumOfSum(deposits_, (1+1));...VALID [written to mutants/Auctions/Auctions.mutant.175.sol] 
PROCESSING MUTANT: 284:                 vars.depositToRemove = Maths.wmul(vars.scale, vars.unscaledDeposit);  ==>                  vars.depositToRemove = Maths.wmul( vars.unscaledDeposit,vars.scale);...VALID [written to mutants/Auctions/Auctions.mutant.176.sol] 
PROCESSING MUTANT: 285:                 vars.debt            = Maths.wmul(borrower.t0Debt, params_.inflator);  ==>                  vars.debt            = Maths.wmul( params_.inflator,borrower.t0Debt);...VALID [written to mutants/Auctions/Auctions.mutant.177.sol] 
PROCESSING MUTANT: 288:                 if (vars.depositToRemove >= vars.debt) {  ==>                  if (vars.depositToRemove > vars.debt) {...VALID [written to mutants/Auctions/Auctions.mutant.178.sol] 
                    break;...VALID [written to mutants/Auctions/Auctions.mutant.179.sol] 
                    continue;...VALID [written to mutants/Auctions/Auctions.mutant.180.sol] 
PROCESSING MUTANT: 290:                     borrower.t0Debt  = 0;                                                              // no remaining debt to settle  ==>                      borrower.t0Debt  = 0;                                                              //  remaining debt to settle...VALID [written to mutants/Auctions/Auctions.mutant.181.sol] 
PROCESSING MUTANT: 294:                     borrower.t0Debt -= Maths.wdiv(vars.depositToRemove, params_.inflator);             // subtract from remaining debt the corresponding t0 amount of deposit  ==>                      borrower.t0Debt -= Maths.wdiv(vars.depositToRemove, params_.inflator);             // subtract from remaining debt the corresponding t1 amount of deposit...VALID [written to mutants/Auctions/Auctions.mutant.182.sol] 
PROCESSING MUTANT: 294:                     borrower.t0Debt -= Maths.wdiv(vars.depositToRemove, params_.inflator);             // subtract from remaining debt the corresponding t0 amount of deposit  ==>                      borrower.t0Debt -= Maths.wdiv(vars.depositToRemove, params_.inflator);             // subtract from remaining debt the corresponding t-1 amount of deposit...VALID [written to mutants/Auctions/Auctions.mutant.183.sol] 
PROCESSING MUTANT: 294:                     borrower.t0Debt -= Maths.wdiv(vars.depositToRemove, params_.inflator);             // subtract from remaining debt the corresponding t0 amount of deposit  ==>                      borrower.t0Debt -= Maths.wdiv(vars.depositToRemove, params_.inflator);             // subtract from remaining debt the corresponding t(0+1) amount of deposit...VALID [written to mutants/Auctions/Auctions.mutant.184.sol] 
PROCESSING MUTANT: 294:                     borrower.t0Debt -= Maths.wdiv(vars.depositToRemove, params_.inflator);             // subtract from remaining debt the corresponding t0 amount of deposit  ==>                      borrower.t0Debt -= Maths.wdiv(vars.depositToRemove, params_.inflator);             // subtract from remaining debt the corresponding t(0-1) amount of deposit...VALID [written to mutants/Auctions/Auctions.mutant.185.sol] 
PROCESSING MUTANT: 294:                     borrower.t0Debt -= Maths.wdiv(vars.depositToRemove, params_.inflator);             // subtract from remaining debt the corresponding t0 amount of deposit  ==>                      borrower.t0Debt -= Maths.wdiv(vars.depositToRemove, params_.inflator);             //  from remaining debt the corresponding t0 amount of deposit...VALID [written to mutants/Auctions/Auctions.mutant.186.sol] 
PROCESSING MUTANT: 296:                     Deposits.unscaledRemove(deposits_, vars.index, vars.unscaledDeposit);              // Remove all deposit from bucket  ==>                      Deposits.unscaledRemove(deposits_, vars.index, vars.unscaledDeposit);              //  all deposit from bucket...VALID [written to mutants/Auctions/Auctions.mutant.187.sol] 
PROCESSING MUTANT: 299:                     if (hpbBucket.collateral == 0) {                                                   // existing LPs for the bucket shall become unclaimable.  ==>                      if (hpbBucket.collateral <= 0) {                                                   // existing LPs for the bucket shall become unclaimable....VALID [written to mutants/Auctions/Auctions.mutant.188.sol] 
PROCESSING MUTANT: 299:                     if (hpbBucket.collateral == 0) {                                                   // existing LPs for the bucket shall become unclaimable.  ==>                      if (hpbBucket.collateral == 0) {                                                   //  LPs for the bucket shall become unclaimable....VALID [written to mutants/Auctions/Auctions.mutant.189.sol] 
PROCESSING MUTANT: 300:                         emit BucketBankruptcy(vars.index, hpbBucket.lps);  ==>                          emit BucketBankruptcy( hpbBucket.lps,vars.index);...VALID [written to mutants/Auctions/Auctions.mutant.190.sol] 
PROCESSING MUTANT: 300:                         emit BucketBankruptcy(vars.index, hpbBucket.lps);  ==>                          /*emit BucketBankruptcy(vars.index, hpbBucket.lps);*/...VALID [written to mutants/Auctions/Auctions.mutant.191.sol] 
                continue;...VALID [written to mutants/Auctions/Auctions.mutant.192.sol] 
PROCESSING MUTANT: 314:         if (borrower.t0Debt == 0) {  ==>          if (borrower.t0Debt <= 0) {...VALID [written to mutants/Auctions/Auctions.mutant.193.sol] 
PROCESSING MUTANT: 358:             0  ==>              1...VALID [written to mutants/Auctions/Auctions.mutant.194.sol] 
PROCESSING MUTANT: 358:             0  ==>              (0+1)...VALID [written to mutants/Auctions/Auctions.mutant.195.sol] 
PROCESSING MUTANT: 392:         if (bucket.bankruptcyTime < lender.depositTime) vars.lenderLPs = lender.lps;  ==>          if (bucket.bankruptcyTime <= lender.depositTime) vars.lenderLPs = lender.lps;...VALID [written to mutants/Auctions/Auctions.mutant.196.sol] 
PROCESSING MUTANT: 392:         if (bucket.bankruptcyTime < lender.depositTime) vars.lenderLPs = lender.lps;  ==>          if (bucket.bankruptcyTime != lender.depositTime) vars.lenderLPs = lender.lps;...VALID [written to mutants/Auctions/Auctions.mutant.197.sol] 
PROCESSING MUTANT: 392:         if (bucket.bankruptcyTime < lender.depositTime) vars.lenderLPs = lender.lps;  ==>          if (true) vars.lenderLPs = lender.lps;...VALID [written to mutants/Auctions/Auctions.mutant.198.sol] 
PROCESSING MUTANT: 392:         if (bucket.bankruptcyTime < lender.depositTime) vars.lenderLPs = lender.lps;  ==>          if (1==1) vars.lenderLPs = lender.lps;...VALID [written to mutants/Auctions/Auctions.mutant.199.sol] 
PROCESSING MUTANT: 399:         vars.bucketDeposit         = Maths.wmul(vars.bucketUnscaledDeposit, vars.bucketScale);  ==>          vars.bucketDeposit         = Maths.wmul( vars.bucketScale,vars.bucketUnscaledDeposit);...VALID [written to mutants/Auctions/Auctions.mutant.200.sol] 
PROCESSING MUTANT: 409:         vars.amountToDebitFromDeposit = Maths.wmul(vars.lenderLPs, vars.bucketRate);  // calculate amount to remove based on lender LPs in bucket  ==>          vars.amountToDebitFromDeposit = Maths.wmul( vars.bucketRate,vars.lenderLPs);  // calculate amount to remove based on lender LPs in bucket...VALID [written to mutants/Auctions/Auctions.mutant.201.sol] 
PROCESSING MUTANT: 409:         vars.amountToDebitFromDeposit = Maths.wmul(vars.lenderLPs, vars.bucketRate);  // calculate amount to remove based on lender LPs in bucket  ==>          vars.amountToDebitFromDeposit = Maths.wmul(vars.lenderLPs, vars.bucketRate);  // calculate amount to remove based on lbeginer LPs in bucket...VALID [written to mutants/Auctions/Auctions.mutant.202.sol] 
PROCESSING MUTANT: 409:         vars.amountToDebitFromDeposit = Maths.wmul(vars.lenderLPs, vars.bucketRate);  // calculate amount to remove based on lender LPs in bucket  ==>          vars.amountToDebitFromDeposit = Maths.wmul(vars.lenderLPs, vars.bucketRate);  //  amount to remove based on lender LPs in bucket...VALID [written to mutants/Auctions/Auctions.mutant.203.sol] 
PROCESSING MUTANT: 411:         if (vars.amountToDebitFromDeposit > vars.bucketDeposit) vars.amountToDebitFromDeposit = vars.bucketDeposit; // cap the amount to remove at bucket deposit  ==>          if (vars.amountToDebitFromDeposit == vars.bucketDeposit) vars.amountToDebitFromDeposit = vars.bucketDeposit; // cap the amount to remove at bucket deposit...VALID [written to mutants/Auctions/Auctions.mutant.204.sol] 
PROCESSING MUTANT: 411:         if (vars.amountToDebitFromDeposit > vars.bucketDeposit) vars.amountToDebitFromDeposit = vars.bucketDeposit; // cap the amount to remove at bucket deposit  ==>          if (vars.amountToDebitFromDeposit >= vars.bucketDeposit) vars.amountToDebitFromDeposit = vars.bucketDeposit; // cap the amount to remove at bucket deposit...VALID [written to mutants/Auctions/Auctions.mutant.205.sol] 
PROCESSING MUTANT: 411:         if (vars.amountToDebitFromDeposit > vars.bucketDeposit) vars.amountToDebitFromDeposit = vars.bucketDeposit; // cap the amount to remove at bucket deposit  ==>          if (vars.amountToDebitFromDeposit > vars.bucketDeposit) vars.amountToDebitFromDeposit = vars.bucketDeposit; //  the amount to remove at bucket deposit...VALID [written to mutants/Auctions/Auctions.mutant.206.sol] 
PROCESSING MUTANT: 411:         if (vars.amountToDebitFromDeposit > vars.bucketDeposit) vars.amountToDebitFromDeposit = vars.bucketDeposit; // cap the amount to remove at bucket deposit  ==>          if (false) vars.amountToDebitFromDeposit = vars.bucketDeposit; // cap the amount to remove at bucket deposit...VALID [written to mutants/Auctions/Auctions.mutant.207.sol] 
PROCESSING MUTANT: 411:         if (vars.amountToDebitFromDeposit > vars.bucketDeposit) vars.amountToDebitFromDeposit = vars.bucketDeposit; // cap the amount to remove at bucket deposit  ==>          /*if (vars.amountToDebitFromDeposit > vars.bucketDeposit) vars.amountToDebitFromDeposit = vars.bucketDeposit; // cap the amount to remove at bucket deposit*/...VALID [written to mutants/Auctions/Auctions.mutant.208.sol] 
PROCESSING MUTANT: 411:         if (vars.amountToDebitFromDeposit > vars.bucketDeposit) vars.amountToDebitFromDeposit = vars.bucketDeposit; // cap the amount to remove at bucket deposit  ==>          if (0==1) vars.amountToDebitFromDeposit = vars.bucketDeposit; // cap the amount to remove at bucket deposit...VALID [written to mutants/Auctions/Auctions.mutant.209.sol] 
PROCESSING MUTANT: 414:         if (vars.amountToDebitFromDeposit == 0) revert InsufficientLiquidity();  ==>          if (vars.amountToDebitFromDeposit <= 0) revert InsufficientLiquidity();...VALID [written to mutants/Auctions/Auctions.mutant.210.sol] 
PROCESSING MUTANT: 428:         if (vars.amountToDebitFromDeposit > kickResult_.amountToCoverBond) {  ==>          if (vars.amountToDebitFromDeposit >= kickResult_.amountToCoverBond) {...VALID [written to mutants/Auctions/Auctions.mutant.211.sol] 
PROCESSING MUTANT: 429:             vars.amountToDebitFromDeposit = kickResult_.amountToCoverBond;                      // cap amount to remove from deposit at amount to cover bond  ==>              vars.amountToDebitFromDeposit = kickResult_.amountToCoverBond;                      //  amount to remove from deposit at amount to cover bond...VALID [written to mutants/Auctions/Auctions.mutant.212.sol] 
